year,state,electoral_votes,party,
2016,KENTUCKY,8,R,
2020,KENTUCKY,8,R,
1976,LOUISIANA,10,D,
1980,LOUISIANA,10,R,
1984,LOUISIANA,10,R,
1988,LOUISIANA,10,R,
1992,LOUISIANA,9,D,
1996,LOUISIANA,9,D,
2000,LOUISIANA,9,R,
2004,LOUISIANA,9,R,
2008,LOUISIANA,9,R,
2012,LOUISIANA,8,R,
2016,LOUISIANA,8,R,
2020,LOUISIANA,8,R,
1976,MAINE,4,R,
1980,MAINE,4,R,
1984,MAINE,4,R,
1988,MAINE,4,R,
1992,MAINE,4,D,
1996,MAINE,4,D,
2000,MAINE,4,D,
2004,MAINE,4,D,
2008,MAINE,4,D,
2012,MAINE,4,D,
2016,MAINE,4,D,
2020,MAINE,4,D,
1976,MARYLAND,10,D,
1980,MARYLAND,10,D,
1984,MARYLAND,10,R,
1988,MARYLAND,10,R,
1992,MARYLAND,10,D,
1996,MARYLAND,10,D,
2000,MARYLAND,10,D,
2004,MARYLAND,10,D,
2008,MARYLAND,10,D,
2012,MARYLAND,10,D,
2016,MARYLAND,10,D,
2020,MARYLAND,10,D,
1976,MASSACHUSETTS,14,D,
1980,MASSACHUSETTS,14,R,
1984,MASSACHUSETTS,13,R,
1988,MASSACHUSETTS,13,D,
1992,MASSACHUSETTS,12,D,
1996,MASSACHUSETTS,12,D,
2000,MASSACHUSETTS,12,D,
2004,MASSACHUSETTS,12,D,
2008,MASSACHUSETTS,12,D,
2012,MASSACHUSETTS,11,D,
2016,MASSACHUSETTS,11,D,
2020,MASSACHUSETTS,11,D,
1976,MICHIGAN,21,R,
1980,MICHIGAN,21,R,
1984,MICHIGAN,20,R,
1988,MICHIGAN,20,R,
1992,MICHIGAN,18,D,
1996,MICHIGAN,18,D,
2000,MICHIGAN,18,D,
2004,MICHIGAN,17,D,
2008,MICHIGAN,17,D,
2012,MICHIGAN,16,D,
2016,MICHIGAN,16,R,
2020,MICHIGAN,16,D,
1976,MINNESOTA,10,D,
1980,MINNESOTA,10,D,
1984,MINNESOTA,10,D,
1988,MINNESOTA,10,D,
1992,MINNESOTA,10,D,
1996,MINNESOTA,10,D,
2000,MINNESOTA,10,D,
2004,MINNESOTA,10,D,
2008,MINNESOTA,10,D,
2012,MINNESOTA,10,D,
2016,MINNESOTA,10,D,
2020,MINNESOTA,10,D,
1976,MISSISSIPPI,7,D,
1980,MISSISSIPPI,7,R,
1984,MISSISSIPPI,7,R,
1988,MISSISSIPPI,7,R,
1992,MISSISSIPPI,7,R,
1996,MISSISSIPPI,7,R,
2000,MISSISSIPPI,7,R,
2004,MISSISSIPPI,6,R,
2008,MISSISSIPPI,6,R,
2012,MISSISSIPPI,6,R,
2016,MISSISSIPPI,6,R,
2020,MISSISSIPPI,6,R,
1976,MISSOURI,12,D,
1980,MISSOURI,12,R,
1984,MISSOURI,11,R,
1988,MISSOURI,11,R,
1992,MISSOURI,11,D,
1996,MISSOURI,11,D,
2000,MISSOURI,11,R,
2004,MISSOURI,11,R,
2008,MISSOURI,11,R,
2012,MISSOURI,10,R,
2016,MISSOURI,10,R,
2020,MISSOURI,10,R,
1976,MONTANA,4,R,
1980,MONTANA,4,R,
1984,MONTANA,4,R,
1988,MONTANA,4,R,
1992,MONTANA,3,D,
1996,MONTANA,3,R,
2000,MONTANA,3,R,
2004,MONTANA,3,R,
2008,MONTANA,3,R,
2012,MONTANA,3,R,
2016,MONTANA,3,R,
2020,MONTANA,3,R,
1976,NEBRASKA,5,R,
1980,NEBRASKA,5,R,
1984,NEBRASKA,5,R,
1988,NEBRASKA,5,R,
1992,NEBRASKA,5,R,
1996,NEBRASKA,5,R,
2000,NEBRASKA,5,R,
2004,NEBRASKA,5,R,
2008,NEBRASKA,5,R,
2012,NEBRASKA,5,R,
2016,NEBRASKA,5,R,
2020,NEBRASKA,5,R,
1976,NEVADA,3,R,
1980,NEVADA,3,R,
1984,NEVADA,4,R,
1988,NEVADA,4,R,
1992,NEVADA,4,D,
1996,NEVADA,4,D,
2000,NEVADA,4,R,
2004,NEVADA,5,R,
2008,NEVADA,5,D,
2012,NEVADA,6,D,
2016,NEVADA,6,D,
2020,NEVADA,6,D,
1976,NEW HAMPSHIRE,4,R,
1980,NEW HAMPSHIRE,4,R,
1984,NEW HAMPSHIRE,4,R,
1988,NEW HAMPSHIRE,4,R,
1992,NEW HAMPSHIRE,4,D,
1996,NEW HAMPSHIRE,4,D,
2000,NEW HAMPSHIRE,4,R,
2004,NEW HAMPSHIRE,4,D,
2008,NEW HAMPSHIRE,4,D,
2012,NEW HAMPSHIRE,4,D,
2016,NEW HAMPSHIRE,4,D,
2020,NEW HAMPSHIRE,4,D,
1976,NEW JERSEY,17,R,
1980,NEW JERSEY,17,R,
1984,NEW JERSEY,16,R,
1988,NEW JERSEY,16,R,
1992,NEW JERSEY,15,D,
1996,NEW JERSEY,15,D,
2000,NEW JERSEY,15,D,
2004,NEW JERSEY,15,D,
2008,NEW JERSEY,15,D,
2012,NEW JERSEY,14,D,
2016,NEW JERSEY,14,D,
2020,NEW JERSEY,14,D,
1976,NEW MEXICO,4,R,
1980,NEW MEXICO,4,R,
1984,NEW MEXICO,5,R,
1988,NEW MEXICO,5,R,
1992,NEW MEXICO,5,D,
1996,NEW MEXICO,5,D,
2000,NEW MEXICO,5,D,
2004,NEW MEXICO,5,R,
2008,NEW MEXICO,5,D,
2012,NEW MEXICO,5,D,
2016,NEW MEXICO,5,D,
2020,NEW MEXICO,5,D,
1976,NEW YORK,41,D,
1980,NEW YORK,41,R,
1984,NEW YORK,36,R,
1988,NEW YORK,36,D,
1992,NEW YORK,33,D,
1996,NEW YORK,33,D,
2000,NEW YORK,33,D,
2004,NEW YORK,31,D,
2008,NEW YORK,31,D,
2012,NEW YORK,29,D,
2016,NEW YORK,29,D,
2020,NEW YORK,29,D,
1976,NORTH CAROLINA,13,D,
1980,NORTH CAROLINA,13,R,
1984,NORTH CAROLINA,13,R,
1988,NORTH CAROLINA,13,R,
1992,NORTH CAROLINA,14,R,
1996,NORTH CAROLINA,14,R,
2000,NORTH CAROLINA,14,R,
2004,NORTH CAROLINA,15,R,
2008,NORTH CAROLINA,15,D,
2012,NORTH CAROLINA,15,R,
2016,NORTH CAROLINA,15,R,
2020,NORTH CAROLINA,15,R,
1976,NORTH DAKOTA,3,R,
1980,NORTH DAKOTA,3,R,
1984,NORTH DAKOTA,3,R,
1988,NORTH DAKOTA,3,R,
1992,NORTH DAKOTA,3,R,
1996,NORTH DAKOTA,3,R,
2000,NORTH DAKOTA,3,R,
2004,NORTH DAKOTA,3,R,
2008,NORTH DAKOTA,3,R,
2012,NORTH DAKOTA,3,R,
2016,NORTH DAKOTA,3,R,
2020,NORTH DAKOTA,3,R,
1976,OHIO,25,D,
1980,OHIO,25,R,
1984,OHIO,23,R,
1988,OHIO,23,R,
1992,OHIO,21,D,
1996,OHIO,21,D,
2000,OHIO,21,R,
2004,OHIO,20,R,
2008,OHIO,20,D,
2012,OHIO,18,D,
2016,OHIO,18,R,
2020,OHIO,18,R,
1976,OKLAHOMA,8,R,
1980,OKLAHOMA,8,R,
1984,OKLAHOMA,8,R,
1988,OKLAHOMA,8,R,
1992,OKLAHOMA,8,R,
1996,OKLAHOMA,8,R,
2000,OKLAHOMA,8,R,
2004,OKLAHOMA,7,R,
2008,OKLAHOMA,7,R,
2012,OKLAHOMA,7,R,
2016,OKLAHOMA,7,R,
2020,OKLAHOMA,7,R,
1976,OREGON,6,R,
1980,OREGON,6,R,
1984,OREGON,7,R,
1988,OREGON,7,D,
1992,OREGON,7,D,
1996,OREGON,7,D,
2000,OREGON,7,D,
2004,OREGON,7,D,
2008,OREGON,7,D,
2012,OREGON,7,D,
2016,OREGON,7,D,
2020,OREGON,7,D,
1976,PENNSYLVANIA,27,D,
1980,PENNSYLVANIA,27,R,
1984,PENNSYLVANIA,25,R,
1988,PENNSYLVANIA,25,R,
1992,PENNSYLVANIA,23,D,
1996,PENNSYLVANIA,23,D,
2000,PENNSYLVANIA,23,D,
2004,PENNSYLVANIA,21,D,
2008,PENNSYLVANIA,21,D,
2012,PENNSYLVANIA,20,D,
2016,PENNSYLVANIA,20,R,
2020,PENNSYLVANIA,20,D,
1976,RHODE ISLAND,4,D,
1980,RHODE ISLAND,4,D,
1984,RHODE ISLAND,4,R,
1988,RHODE ISLAND,4,D,
1992,RHODE ISLAND,4,D,
1996,RHODE ISLAND,4,D,
2000,RHODE ISLAND,4,D,
2004,RHODE ISLAND,4,D,
2008,RHODE ISLAND,4,D,
2012,RHODE ISLAND,4,D,
2016,RHODE ISLAND,4,D,
2020,RHODE ISLAND,4,D,
1976,SOUTH CAROLINA,8,D,
1980,SOUTH CAROLINA,8,R,
1984,SOUTH CAROLINA,8,R,
1988,SOUTH CAROLINA,8,R,
1992,SOUTH CAROLINA,8,R,
1996,SOUTH CAROLINA,8,R,
2000,SOUTH CAROLINA,8,R,
2004,SOUTH CAROLINA,8,R,
2008,SOUTH CAROLINA,8,R,
2012,SOUTH CAROLINA,9,R,
2016,SOUTH CAROLINA,9,R,
2020,SOUTH CAROLINA,9,R,
1976,SOUTH DAKOTA,4,R,
1980,SOUTH DAKOTA,4,R,
1984,SOUTH DAKOTA,3,R,
1988,SOUTH DAKOTA,3,R,
1992,SOUTH DAKOTA,3,R,
1996,SOUTH DAKOTA,3,R,
2000,SOUTH DAKOTA,3,R,
2004,SOUTH DAKOTA,3,R,
2008,SOUTH DAKOTA,3,R,
2012,SOUTH DAKOTA,3,R,
2016,SOUTH DAKOTA,3,R,
2020,SOUTH DAKOTA,3,R,
1976,TENNESSEE,10,D,
1980,TENNESSEE,10,R,
1984,TENNESSEE,11,R,
1988,TENNESSEE,11,R,
1992,TENNESSEE,11,D,
1996,TENNESSEE,11,D,
2000,TENNESSEE,11,R,
2004,TENNESSEE,11,R,
2008,TENNESSEE,11,R,
2012,TENNESSEE,11,R,
2016,TENNESSEE,11,R,
2020,TENNESSEE,11,R,
1976,TEXAS,26,D,
1980,TEXAS,26,R,
1984,TEXAS,29,R,
1988,TEXAS,29,R,
1992,TEXAS,32,R,
1996,TEXAS,32,R,
2000,TEXAS,32,R,
2004,TEXAS,34,R,
2008,TEXAS,34,R,
2012,TEXAS,38,R,
2016,TEXAS,38,R,
2020,TEXAS,38,R,
1976,UTAH,4,R,
1980,UTAH,4,R,
1984,UTAH,5,R,
1988,UTAH,5,R,
1992,UTAH,5,R,
1996,UTAH,5,R,
2000,UTAH,5,R,
2004,UTAH,5,R,
2008,UTAH,5,R,
2012,UTAH,6,R,
2016,UTAH,6,R,
2020,UTAH,6,R,
1976,VERMONT,3,R,
1980,VERMONT,3,R,
1984,VERMONT,3,R,
1988,VERMONT,3,R,
1992,VERMONT,3,D,
1996,VERMONT,3,D,
2000,VERMONT,3,D,
2004,VERMONT,3,D,
2008,VERMONT,3,D,
2012,VERMONT,3,D,
2016,VERMONT,3,D,
2020,VERMONT,3,D,
1976,VIRGINIA,12,R,
1980,VIRGINIA,12,R,
1984,VIRGINIA,12,R,
1988,VIRGINIA,12,R,
1992,VIRGINIA,13,R,
1996,VIRGINIA,13,R,
2000,VIRGINIA,13,R,
2004,VIRGINIA,13,R,
2008,VIRGINIA,13,D,
2012,VIRGINIA,13,D,
2016,VIRGINIA,13,D,
2020,VIRGINIA,13,D,
1976,WASHINGTON,9,R,
1980,WASHINGTON,9,R,
1984,WASHINGTON,10,R,
1988,WASHINGTON,10,D,
1992,WASHINGTON,11,D,
1996,WASHINGTON,11,D,
2000,WASHINGTON,11,D,
2004,WASHINGTON,11,D,
2008,WASHINGTON,11,D,
2012,WASHINGTON,12,D,
2016,WASHINGTON,12,D,
2020,WASHINGTON,12,D,
1976,WEST VIRGINIA,6,D,
1980,WEST VIRGINIA,6,D,
1984,WEST VIRGINIA,6,R,
1988,WEST VIRGINIA,6,D,
1992,WEST VIRGINIA,5,D,
1996,WEST VIRGINIA,5,D,
2000,WEST VIRGINIA,5,R,
2004,WEST VIRGINIA,5,R,
2008,WEST VIRGINIA,5,R,
2012,WEST VIRGINIA,5,R,
2016,WEST VIRGINIA,5,R,
2020,WEST VIRGINIA,5,R,
1976,WISCONSIN,11,D,
1980,WISCONSIN,11,R,
1984,WISCONSIN,11,R,
1988,WISCONSIN,11,D,
1992,WISCONSIN,11,D,
1996,WISCONSIN,11,D,
2000,WISCONSIN,11,D,
2004,WISCONSIN,10,D,
2008,WISCONSIN,10,D,
2012,WISCONSIN,10,D,
2016,WISCONSIN,10,R,
2020,WISCONSIN,10,D,
1976,WYOMING,3,R,
1980,WYOMING,3,R,
1984,WYOMING,3,R,
1988,WYOMING,3,R,
1992,WYOMING,3,R,
1996,WYOMING,3,R,
2000,WYOMING,3,R,
2004,WYOMING,3,R,
2008,WYOMING,3,R,
2012,WYOMING,3,R,
2016,WYOMING,3,R,
2020,WYOMING,3,R,
