year,state,state_po,totalvotes,dem_name,rep_name,dem_votes,rep_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,E_total,D_electoral,R_electoral,overall_winner
1976,TEXAS,TX,4071884,"CARTER, JIMMY","FORD, GERALD",2082319,1953300,2082319,1953300,64510,D,,0.0,0.0,0.0,R
1976,UTAH,UT,541218,"CARTER, JIMMY","FORD, GERALD",182110,337908,337908,182110,77900,R,,0.0,0.0,0.0,R
1976,VERMONT,VT,183902,"CARTER, JIMMY","FORD, GERALD",77798,100387,100387,77798,11295,R,,0.0,0.0,0.0,R
1976,VIRGINIA,VA,1697094,"CARTER, JIMMY","FORD, GERALD",813896,836554,836554,813896,11330,R,,0.0,0.0,0.0,R
1976,WASHINGTON,WA,1555534,"CARTER, JIMMY","FORD, GERALD",717323,777732,777732,717323,30205,R,,0.0,0.0,0.0,R
1976,WEST VIRGINIA,WV,750590,"CARTER, JIMMY","FORD, GERALD",435864,314726,435864,314726,60570,D,,0.0,0.0,0.0,R
1976,WISCONSIN,WI,2101336,"CARTER, JIMMY","FORD, GERALD",1040232,1004987,1040232,1004987,17623,D,,0.0,0.0,0.0,R
1976,WYOMING,WY,156343,"CARTER, JIMMY","FORD, GERALD",62239,92717,92717,62239,15240,R,,0.0,0.0,0.0,R
1980,ALABAMA,AL,1341929,"CARTER, JIMMY","REAGAN, RONALD",636730,654192,654192,636730,8732,R,,0.0,0.0,0.0,R
1980,ALASKA,AK,158445,"CARTER, JIMMY","REAGAN, RONALD",41842,86112,86112,41842,22136,R,,0.0,0.0,0.0,R
1980,ARIZONA,AZ,873945,"CARTER, JIMMY","REAGAN, RONALD",246843,529688,529688,246843,141423,R,,0.0,0.0,0.0,R
1980,ARKANSAS,AR,837582,"CARTER, JIMMY","REAGAN, RONALD",398041,403164,403164,398041,2562,R,,0.0,0.0,0.0,R
1980,CALIFORNIA,CA,8582938,"CARTER, JIMMY","REAGAN, RONALD",3082943,4522994,4522994,3082943,720026,R,,0.0,0.0,0.0,R
1980,COLORADO,CO,1184450,"CARTER, JIMMY","REAGAN, RONALD",368009,652264,652264,368009,142128,R,,0.0,0.0,0.0,R
1980,CONNECTICUT,CT,1406285,"CARTER, JIMMY","REAGAN, RONALD",541732,677210,677210,541732,67740,R,,0.0,0.0,0.0,R
1980,DELAWARE,DE,235668,"CARTER, JIMMY","REAGAN, RONALD",105754,111252,111252,105754,2750,R,,0.0,0.0,0.0,R
1980,DISTRICT OF COLUMBIA,DC,173889,"CARTER, JIMMY","REAGAN, RONALD",130231,23313,130231,23313,53460,D,,0.0,0.0,0.0,R
1980,FLORIDA,FL,3686927,"CARTER, JIMMY","REAGAN, RONALD",1419475,2046951,2046951,1419475,313739,R,,0.0,0.0,0.0,R
1980,GEORGIA,GA,1596805,"CARTER, JIMMY","REAGAN, RONALD",890955,654168,890955,654168,118394,D,,0.0,0.0,0.0,R
