year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
2008,ALABAMA,AL,Barack Obama,John McCain,,R,813479,1266546,0,D,R,False,9,813479,1266546,0,538,270,364,174,0,2080025
2008,ALASKA,AK,Barack Obama,John McCain,,R,123594,193841,0,D,R,False,3,123594,193841,0,538,270,364,174,0,317435
2008,ARIZONA,AZ,Barack Obama,John McCain,,R,1034707,1230111,0,D,R,False,10,1034707,1230111,0,538,270,364,174,0,2264818
2008,ARKANSAS,AR,Barack Obama,John McCain,,R,422310,638017,0,D,R,False,6,422310,638017,0,538,270,364,174,0,1060327
2008,CALIFORNIA,CA,Barack Obama,John McCain,,D,8274473,5011781,0,D,R,True,55,8274473,5011781,1631347,538,270,364,174,0,13286254
2008,COLORADO,CO,Barack Obama,John McCain,,D,1288633,1073629,0,D,R,True,9,1288633,1073629,107503,538,270,364,174,0,2362262
2008,CONNECTICUT,CT,Barack Obama,John McCain,,D,997773,629428,0,D,R,True,7,997773,629428,184173,538,270,364,174,0,1627201
2008,DELAWARE,DE,Barack Obama,John McCain,,D,255459,152374,0,D,R,True,3,255459,152374,51543,538,270,364,174,0,407833
2008,FLORIDA,FL,Barack Obama,John McCain,,D,4282074,4045624,0,D,R,True,27,4282074,4045624,118226,538,270,364,174,0,8327698
2008,GEORGIA,GA,Barack Obama,John McCain,,R,1844123,2048759,0,D,R,False,15,1844123,2048759,0,538,270,364,174,0,3892882
2008,HAWAII,HI,Barack Obama,John McCain,,D,325871,120566,0,D,R,True,4,325871,120566,102653,538,270,364,174,0,446437
2008,IDAHO,ID,Barack Obama,John McCain,,R,236440,403012,0,D,R,False,4,236440,403012,0,538,270,364,174,0,639452
2008,ILLINOIS,IL,Barack Obama,John McCain,,D,3419348,2031179,0,D,R,True,21,3419348,2031179,694085,538,270,364,174,0,5450527
2008,INDIANA,IN,Barack Obama,John McCain,,D,1374039,1345648,0,D,R,True,11,1374039,1345648,14196,538,270,364,174,0,2719687
2008,IOWA,IA,Barack Obama,John McCain,,D,828940,682379,0,D,R,True,7,828940,682379,73281,538,270,364,174,0,1511319
2008,KANSAS,KS,Barack Obama,John McCain,,R,514765,699655,0,D,R,False,6,514765,699655,0,538,270,364,174,0,1214420
2008,KENTUCKY,KY,Barack Obama,John McCain,,R,751985,1048462,0,D,R,False,8,751985,1048462,0,538,270,364,174,0,1800447
2008,LOUISIANA,LA,Barack Obama,John McCain,,R,782989,1148275,0,D,R,False,9,782989,1148275,0,538,270,364,174,0,1931264
2008,MAINE,ME,Barack Obama,John McCain,,D,421923,295273,0,D,R,True,4,421923,295273,63326,538,270,364,174,0,717196
2008,MARYLAND,MD,Barack Obama,John McCain,,D,1629467,959862,0,D,R,True,10,1629467,959862,334803,538,270,364,174,0,2589329
2008,MASSACHUSETTS,MA,Barack Obama,John McCain,,D,1904098,1108854,0,D,R,True,12,1904098,1108854,397623,538,270,364,174,0,3012952
2008,MICHIGAN,MI,Barack Obama,John McCain,,D,2872579,2048639,0,D,R,True,17,2872579,2048639,411971,538,270,364,174,0,4921218
2008,MINNESOTA,MN,Barack Obama,John McCain,,T,0,1275409,1573354,D,R,False,10,0,1275409,0,538,270,364,174,0,2848763
2008,MISSISSIPPI,MS,Barack Obama,John McCain,,R,554662,724597,0,D,R,False,6,554662,724597,0,538,270,364,174,0,1279259
2008,MISSOURI,MO,Barack Obama,John McCain,,R,1441911,1445814,0,D,R,False,11,1441911,1445814,0,538,270,364,174,0,2887725
2008,MONTANA,MT,Barack Obama,John McCain,,R,232159,243882,0,D,R,False,3,232159,243882,0,538,270,364,174,0,476041
2008,NEBRASKA,NE,Barack Obama,John McCain,,R,194427,317412,0,D,R,False,4,317412,317412,1,538,270,364,174,0,511839
2008,NEBRASKA-02,,Barack Obama,John McCain,,D,138892,135567,0,D,R,True,1,138892,135567,1663,538,270,364,174,0,274459
2008,NEVADA,NV,Barack Obama,John McCain,,D,533736,412827,0,D,R,True,5,533736,412827,60455,538,270,364,174,0,946563
2008,NEW HAMPSHIRE,NH,Barack Obama,John McCain,,D,384826,316534,0,D,R,True,4,384826,316534,34147,538,270,364,174,0,701360
2008,NEW JERSEY,NJ,Barack Obama,John McCain,,D,2215422,1613207,0,D,R,True,15,2215422,1613207,301108,538,270,364,174,0,3828629
2008,NEW MEXICO,NM,Barack Obama,John McCain,,D,472422,346832,0,D,R,True,5,472422,346832,62796,538,270,364,174,0,819254
2008,NEW YORK,NY,Barack Obama,John McCain,,D,4804945,2752771,0,D,R,True,31,4804945,2752771,1026088,538,270,364,174,0,7557716
2008,NORTH CAROLINA,NC,Barack Obama,John McCain,,D,2142651,2128474,0,D,R,True,15,2142651,2128474,7089,538,270,364,174,0,4271125
2008,NORTH DAKOTA,ND,Barack Obama,John McCain,,R,0,168887,141403,D,R,False,3,0,168887,0,538,270,364,174,0,310290
2008,OHIO,OH,Barack Obama,John McCain,,D,2940044,2677820,0,D,R,True,20,2940044,2677820,131113,538,270,364,174,0,5617864
2008,OKLAHOMA,OK,Barack Obama,John McCain,,R,502496,960165,0,D,R,False,7,502496,960165,0,538,270,364,174,0,1462661
2008,OREGON,OR,Barack Obama,John McCain,,D,1037291,738475,0,D,R,True,7,1037291,738475,149409,538,270,364,174,0,1775766
2008,PENNSYLVANIA,PA,Barack Obama,John McCain,,D,3276363,2655885,0,D,R,True,21,3276363,2655885,310240,538,270,364,174,0,5932248
2008,RHODE ISLAND,RI,Barack Obama,John McCain,,D,296571,165391,0,D,R,True,4,296571,165391,65591,538,270,364,174,0,461962
2008,SOUTH CAROLINA,SC,Barack Obama,John McCain,,R,862449,1034896,0,D,R,False,8,862449,1034896,0,538,270,364,174,0,1897345
2008,SOUTH DAKOTA,SD,Barack Obama,John McCain,,R,170924,203054,0,D,R,False,3,170924,203054,0,538,270,364,174,0,373978
2008,TENNESSEE,TN,Barack Obama,John McCain,,R,1087437,1479178,0,D,R,False,11,1087437,1479178,0,538,270,364,174,0,2566615
2008,TEXAS,TX,Barack Obama,John McCain,,R,3528633,4479328,0,D,R,False,34,3528633,4479328,0,538,270,364,174,0,8007961
2008,UTAH,UT,Barack Obama,John McCain,,R,327670,596030,0,D,R,False,5,327670,596030,0,538,270,364,174,0,923700
2008,VERMONT,VT,Barack Obama,John McCain,,D,219262,98974,0,D,R,True,3,219262,98974,60145,538,270,364,174,0,318236
2008,VIRGINIA,VA,Barack Obama,John McCain,,D,1959532,1725005,0,D,R,True,13,1959532,1725005,117264,538,270,364,174,0,3684537
2008,WASHINGTON,WA,Barack Obama,John McCain,,D,1750848,1229216,0,D,R,True,11,1750848,1229216,260817,538,270,364,174,0,2980064
2008,WEST VIRGINIA,WV,Barack Obama,John McCain,,R,303857,397466,0,D,R,False,5,303857,397466,0,538,270,364,174,0,701323
2008,WISCONSIN,WI,Barack Obama,John McCain,,D,1677211,1262393,0,D,R,True,10,1677211,1262393,207410,538,270,364,174,0,2939604
2008,WYOMING,WY,Barack Obama,John McCain,,R,82868,164958,0,D,R,False,3,82868,164958,0,538,270,364,174,0,247826
2008,D.C.,DC,Barack Obama,John McCain,,D,245800,17367,0,D,R,True,3,245800,17367,114217,538,270,364,174,0,263167
