year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1912,NORTH DAKOTA,ND,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,29555,23090,25726,D,R,True,5,29555,23090,3233,531,266,433,8,0,78371
1912,OHIO,OH,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,424834,278168,229807,D,R,True,24,424834,278168,73334,531,266,433,8,0,932809
1912,OKLAHOMA,OK,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,119156,90786,41674,D,R,True,10,119156,90786,14186,531,266,433,8,0,251616
1912,OREGON,OR,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,47064,34673,37600,D,R,True,5,47064,34673,6196,531,266,433,8,0,119337
1912,PENNSYLVANIA,PA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,395637,273360,444894,D,R,False,38,395637,273360,61139,531,266,433,8,0,1113891
1912,RHODE ISLAND,RI,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,30412,27703,16878,D,R,True,5,30412,27703,1355,531,266,433,8,0,74993
1912,SOUTH CAROLINA,SC,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,48357,0,1293,D,R,True,9,48357,0,24179,531,266,433,8,0,49650
1912,SOUTH DAKOTA,SD,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,48942,0,58811,D,R,False,5,48942,0,24472,531,266,433,8,0,107753
1912,TENNESSEE,TN,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,133021,60475,54041,D,R,True,12,133021,60475,36274,531,266,433,8,0,247537
1912,TEXAS,TX,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,219489,28530,26745,D,R,True,20,219489,28530,95480,531,266,433,8,0,274764
1912,UTAH,UT,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,R,36579,42100,24174,D,R,False,4,36579,42100,0,531,266,433,8,0,102853
1912,VERMONT,VT,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,R,15354,23332,22132,D,R,False,4,15354,23332,0,531,266,433,8,0,60818
1912,VIRGINIA,VA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,90332,23288,21777,D,R,True,12,90332,23288,33523,531,266,433,8,0,135397
1912,WASHINGTON,WA,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,T,86840,70445,113698,D,R,False,7,86840,70445,8198,531,266,433,8,0,270983
1912,WEST VIRGINIA,WV,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,113197,56754,79112,D,R,True,8,113197,56754,28222,531,266,433,8,0,249063
1912,WISCONSIN,WI,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,164230,130596,62448,D,R,True,13,164230,130596,16818,531,266,433,8,0,357274
1912,WYOMING,WY,Woodrow Wilson,William Howard Taft,Theodore Roosevelt,D,15310,14560,9232,D,R,True,3,15310,14560,376,531,266,433,8,0,39102
1916,ALABAMA,AL,Woodrow Wilson,Charles Evans Hughes,,D,99409,28662,0,D,R,True,12,99409,28662,35374,531,266,270,261,0,128071
1916,ARIZONA,AZ,Woodrow Wilson,Charles Evans Hughes,,D,33170,20524,3174,D,R,True,3,33170,20524,6324,531,266,270,261,0,56868
1916,ARKANSAS,AR,Woodrow Wilson,Charles Evans Hughes,,D,112189,47153,0,D,R,True,9,112189,47153,32519,531,266,270,261,0,159342
1916,CALIFORNIA,CA,Woodrow Wilson,Charles Evans Hughes,,D,466289,462516,0,D,R,True,13,466289,462516,1887,531,266,270,261,0,928805
1916,COLORADO,CO,Woodrow Wilson,Charles Evans Hughes,,D,178816,102308,0,D,R,True,6,178816,102308,38255,531,266,270,261,0,281124
1916,CONNECTICUT,CT,Woodrow Wilson,Charles Evans Hughes,,R,99786,106514,0,D,R,False,7,99786,106514,0,531,266,270,261,0,206300
1916,DELAWARE,DE,Woodrow Wilson,Charles Evans Hughes,,R,24753,26011,0,D,R,False,3,24753,26011,0,531,266,270,261,0,50764
1916,FLORIDA,FL,Woodrow Wilson,Charles Evans Hughes,,D,55984,14611,5353,D,R,True,6,55984,14611,20687,531,266,270,261,0,75948
1916,GEORGIA,GA,Woodrow Wilson,Charles Evans Hughes,,D,127754,11294,20692,D,R,True,14,127754,11294,58231,531,266,270,261,0,159740
1916,IDAHO,ID,Woodrow Wilson,Charles Evans Hughes,,D,70054,55368,8066,D,R,True,4,70054,55368,7344,531,266,270,261,0,133488
1916,ILLINOIS,IL,Woodrow Wilson,Charles Evans Hughes,,R,950229,1152549,0,D,R,False,29,950229,1152549,0,531,266,270,261,0,2102778
1916,INDIANA,IN,Woodrow Wilson,Charles Evans Hughes,,R,334063,341005,0,D,R,False,15,334063,341005,0,531,266,270,261,0,675068
1916,IOWA,IA,Woodrow Wilson,Charles Evans Hughes,,R,221699,280439,0,D,R,False,13,221699,280439,0,531,266,270,261,0,502138
1916,KANSAS,KS,Woodrow Wilson,Charles Evans Hughes,,D,314588,277658,0,D,R,True,10,314588,277658,18466,531,266,270,261,0,592246
1916,KENTUCKY,KY,Woodrow Wilson,Charles Evans Hughes,,D,269990,241854,0,D,R,True,13,269990,241854,14069,531,266,270,261,0,511844
1916,LOUISIANA,LA,Woodrow Wilson,Charles Evans Hughes,,D,79875,6466,6349,D,R,True,10,79875,6466,36705,531,266,270,261,0,92690
1916,MAINE,ME,Woodrow Wilson,Charles Evans Hughes,,R,64033,69508,0,D,R,False,6,64033,69508,0,531,266,270,261,0,133541
1916,MARYLAND,MD,Woodrow Wilson,Charles Evans Hughes,,D,138359,117347,0,D,R,True,8,138359,117347,10507,531,266,270,261,0,255706
1916,MASSACHUSETTS,MA,Woodrow Wilson,Charles Evans Hughes,,R,247885,268784,0,D,R,False,18,247885,268784,0,531,266,270,261,0,516669
1916,MICHIGAN,MI,Woodrow Wilson,Charles Evans Hughes,,R,286775,339097,0,D,R,False,15,286775,339097,0,531,266,270,261,0,625872
1916,MINNESOTA,MN,Woodrow Wilson,Charles Evans Hughes,,R,179152,179544,20117,D,R,False,12,179152,179544,0,531,266,270,261,0,378813
1916,MISSISSIPPI,MS,Woodrow Wilson,Charles Evans Hughes,,D,80422,4253,0,D,R,True,10,80422,4253,38085,531,266,270,261,0,84675
1916,MISSOURI,MO,Woodrow Wilson,Charles Evans Hughes,,D,398032,369339,0,D,R,True,18,398032,369339,14347,531,266,270,261,0,767371
1916,MONTANA,MT,Woodrow Wilson,Charles Evans Hughes,,D,101063,66750,9564,D,R,True,4,101063,66750,17157,531,266,270,261,0,177377
1916,NEBRASKA,NE,Woodrow Wilson,Charles Evans Hughes,,D,158827,117347,0,D,R,True,8,158827,117347,20741,531,266,270,261,0,276174
1916,NEVADA,NV,Woodrow Wilson,Charles Evans Hughes,,D,17776,12127,3065,D,R,True,3,17776,12127,2825,531,266,270,261,0,32968
1916,NEW HAMPSHIRE,NH,Woodrow Wilson,Charles Evans Hughes,,D,43781,43725,0,D,R,True,4,43781,43725,29,531,266,270,261,0,87506
1916,NEW JERSEY,NJ,Woodrow Wilson,Charles Evans Hughes,,R,211018,268982,0,D,R,False,14,211018,268982,0,531,266,270,261,0,480000
1916,NEW MEXICO,NM,Woodrow Wilson,Charles Evans Hughes,,D,33693,31163,0,D,R,True,3,33693,31163,1266,531,266,270,261,0,64856
1916,NEW YORK,NY,Woodrow Wilson,Charles Evans Hughes,,R,759426,879238,0,D,R,False,45,759426,879238,0,531,266,270,261,0,1638664
1916,NORTH CAROLINA,NC,Woodrow Wilson,Charles Evans Hughes,,D,168383,120890,0,D,R,True,12,168383,120890,23747,531,266,270,261,0,289273
1916,NORTH DAKOTA,ND,Woodrow Wilson,Charles Evans Hughes,,D,55206,53471,0,D,R,True,5,55206,53471,868,531,266,270,261,0,108677
1916,OHIO,OH,Woodrow Wilson,Charles Evans Hughes,,D,604161,514753,0,D,R,True,24,604161,514753,44705,531,266,270,261,0,1118914
1916,OKLAHOMA,OK,Woodrow Wilson,Charles Evans Hughes,,D,148133,97233,45091,D,R,True,10,148133,97233,25451,531,266,270,261,0,290457
1916,OREGON,OR,Woodrow Wilson,Charles Evans Hughes,,R,120087,126813,0,D,R,False,5,120087,126813,0,531,266,270,261,0,246900
1916,PENNSYLVANIA,PA,Woodrow Wilson,Charles Evans Hughes,,R,521784,703823,0,D,R,False,38,521784,703823,0,531,266,270,261,0,1225607
1916,RHODE ISLAND,RI,Woodrow Wilson,Charles Evans Hughes,,R,40394,44858,0,D,R,False,5,40394,44858,0,531,266,270,261,0,85252
1916,SOUTH CAROLINA,SC,Woodrow Wilson,Charles Evans Hughes,,D,61846,1550,0,D,R,True,9,61846,1550,30149,531,266,270,261,0,63396
1916,SOUTH DAKOTA,SD,Woodrow Wilson,Charles Evans Hughes,,R,59191,64217,0,D,R,False,5,59191,64217,0,531,266,270,261,0,123408
1916,TENNESSEE,TN,Woodrow Wilson,Charles Evans Hughes,,D,153280,116223,0,D,R,True,12,153280,116223,18529,531,266,270,261,0,269503
1916,TEXAS,TX,Woodrow Wilson,Charles Evans Hughes,,D,286514,64999,18963,D,R,True,20,286514,64999,110758,531,266,270,261,0,370476
1916,UTAH,UT,Woodrow Wilson,Charles Evans Hughes,,D,84145,54137,0,D,R,True,4,84145,54137,15005,531,266,270,261,0,138282
