year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1968,ALABAMA,AL,Hubert Humphrey,Richard Nixon,George Wallace,T,196579,146923,691425,R,D,False,10,146923,196579,-24827,538,270,191,302,45,1034927
1968,ALASKA,AK,Hubert Humphrey,Richard Nixon,George Wallace,R,35411,37600,10024,R,D,False,3,37600,35411,1095,538,270,191,302,45,83035
1968,ARIZONA,AZ,Hubert Humphrey,Richard Nixon,George Wallace,R,170514,266721,46573,R,D,False,5,266721,170514,48104,538,270,191,302,45,483808
1968,ARKANSAS,AR,Hubert Humphrey,Richard Nixon,George Wallace,T,188228,190759,240982,R,D,False,6,190759,188228,1266,538,270,191,302,45,619969
1968,CALIFORNIA,CA,Hubert Humphrey,Richard Nixon,George Wallace,R,3244318,3467664,487270,R,D,False,40,3467664,3244318,111674,538,270,191,302,45,7199252
1968,COLORADO,CO,Hubert Humphrey,Richard Nixon,George Wallace,R,335174,409345,60813,R,D,False,6,409345,335174,37086,538,270,191,302,45,805332
1968,CONNECTICUT,CT,Hubert Humphrey,Richard Nixon,George Wallace,D,621561,556721,76650,R,D,False,8,556721,621561,-32419,538,270,191,302,45,1254932
1968,DELAWARE,DE,Hubert Humphrey,Richard Nixon,George Wallace,R,89194,96714,28459,R,D,False,3,96714,89194,3761,538,270,191,302,45,214367
1968,FLORIDA,FL,Hubert Humphrey,Richard Nixon,George Wallace,R,676794,886804,624207,R,D,False,14,886804,676794,105006,538,270,191,302,45,2187805
1968,GEORGIA,GA,Hubert Humphrey,Richard Nixon,George Wallace,T,334440,380111,535550,R,D,False,12,380111,334440,22836,538,270,191,302,45,1250101
1968,HAWAII,HI,Hubert Humphrey,Richard Nixon,George Wallace,D,141324,91425,0,R,D,False,4,91425,141324,-24949,538,270,191,302,45,232749
1968,IDAHO,ID,Hubert Humphrey,Richard Nixon,George Wallace,R,89273,165369,36541,R,D,False,4,165369,89273,38049,538,270,191,302,45,291183
1968,ILLINOIS,IL,Hubert Humphrey,Richard Nixon,George Wallace,R,2039814,2174774,390958,R,D,False,26,2174774,2039814,67481,538,270,191,302,45,4605546
1968,INDIANA,IN,Hubert Humphrey,Richard Nixon,George Wallace,R,806659,1067885,243108,R,D,False,13,1067885,806659,130614,538,270,191,302,45,2117652
1968,IOWA,IA,Hubert Humphrey,Richard Nixon,George Wallace,R,476699,619106,66422,R,D,False,9,619106,476699,71204,538,270,191,302,45,1162227
1968,KANSAS,KS,Hubert Humphrey,Richard Nixon,George Wallace,R,302996,478674,88921,R,D,False,7,478674,302996,87840,538,270,191,302,45,870591
1968,KENTUCKY,KY,Hubert Humphrey,Richard Nixon,George Wallace,R,397541,462411,193098,R,D,False,9,462411,397541,32436,538,270,191,302,45,1053050
1968,LOUISIANA,LA,Hubert Humphrey,Richard Nixon,George Wallace,T,309615,257535,530300,R,D,False,10,257535,309615,-26039,538,270,191,302,45,1097450
1968,MAINE,ME,Hubert Humphrey,Richard Nixon,George Wallace,D,217312,169254,0,R,D,False,4,169254,217312,-24028,538,270,191,302,45,386566
1968,MARYLAND,MD,Hubert Humphrey,Richard Nixon,George Wallace,D,538310,517995,178734,R,D,False,10,517995,538310,-10157,538,270,191,302,45,1235039
1968,MASSACHUSETTS,MA,Hubert Humphrey,Richard Nixon,George Wallace,D,1469218,766844,0,R,D,False,14,766844,1469218,-351186,538,270,191,302,45,2236062
1968,MICHIGAN,MI,Hubert Humphrey,Richard Nixon,George Wallace,D,1593082,1370665,331968,R,D,False,21,1370665,1593082,-111208,538,270,191,302,45,3295715
1968,MINNESOTA,MN,Hubert Humphrey,Richard Nixon,George Wallace,T,0,658643,857738,R,D,False,10,658643,0,329322,538,270,191,302,45,1516381
1968,MISSISSIPPI,MS,Hubert Humphrey,Richard Nixon,George Wallace,T,150644,88516,415349,R,D,False,7,88516,150644,-31063,538,270,191,302,45,654509
1968,MISSOURI,MO,Hubert Humphrey,Richard Nixon,George Wallace,R,791444,811932,206126,R,D,False,12,811932,791444,10245,538,270,191,302,45,1809502
1968,MONTANA,MT,Hubert Humphrey,Richard Nixon,George Wallace,R,114117,138835,20015,R,D,False,4,138835,114117,12360,538,270,191,302,45,272967
1968,NEBRASKA,NE,Hubert Humphrey,Richard Nixon,George Wallace,R,170784,321163,44904,R,D,False,5,321163,170784,75190,538,270,191,302,45,536851
1968,NEVADA,NV,Hubert Humphrey,Richard Nixon,George Wallace,R,60598,73188,20432,R,D,False,3,73188,60598,6296,538,270,191,302,45,154218
1968,NEW HAMPSHIRE,NH,Hubert Humphrey,Richard Nixon,George Wallace,R,130589,154903,0,R,D,False,4,154903,130589,12158,538,270,191,302,45,285492
1968,NEW JERSEY,NJ,Hubert Humphrey,Richard Nixon,George Wallace,R,1264206,1325467,262187,R,D,False,17,1325467,1264206,30631,538,270,191,302,45,2851860
1968,NEW MEXICO,NM,Hubert Humphrey,Richard Nixon,George Wallace,R,130081,169692,25737,R,D,False,4,169692,130081,19806,538,270,191,302,45,325510
1968,NEW YORK,NY,Hubert Humphrey,Richard Nixon,George Wallace,D,3378470,3007932,358864,R,D,False,43,3007932,3378470,-185268,538,270,191,302,45,6745266
